trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
239,False,"{'a': 0.8, 'e': 0.3670134010265584}",35,12,-19.14912000689373,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 0}",1
240,False,"{'a': 0.8, 'e': 0.3623577544766736}",20,4,-0.16701364791153073,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
241,False,"{'a': 0.8, 'e': 0.3576930490017995}",30,0,-14.65627058763905,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
242,False,"{'a': 0.8, 'e': 0.35301940121933034}",30,3,5.484809498366799,"{0: 24, 1: 1, 2: 1, 3: 1, 4: 0}",1
243,False,"{'a': 0.8, 'e': 0.348336927970217}",25,13,-24.08454810512296,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
244,False,"{'a': 0.8, 'e': 0.34364574631604705}",25,0,16.9555588280298,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
245,False,"{'a': 0.8, 'e': 0.3389459735361172}",30,10,-34.94851693010046,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",1
246,False,"{'a': 0.8, 'e': 0.3342377271245026}",25,14,14.478068163028414,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.8, 'e': 0.32952112478711787}",20,10,9.418694641042944,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.8, 'e': 0.32479628443877623}",30,13,4.817152525397935,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
249,False,"{'a': 0.8, 'e': 0.32006332420023986}",20,13,14.485984420733661,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.8, 'e': 0.3153223623952687}",35,16,7.48596230943749,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
251,False,"{'a': 0.8, 'e': 0.3105735175476604}",20,0,5.009633972395342,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
252,False,"{'a': 0.8, 'e': 0.3058169083782893}",30,13,8.601531658975711,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
253,False,"{'a': 0.8, 'e': 0.3010526538021365}",30,0,-114.14076921117578,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 3}",0
254,False,"{'a': 0.8, 'e': 0.2962808729253187}",20,6,-9.102021178998857,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
255,False,"{'a': 0.8, 'e': 0.2915016850421088}",20,3,26.0190414553731,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
